Date,URL,Source,Author,Title,Description,Content
2024-09-27,https://removed.com,[Removed],,[Removed],[Removed],[Removed]
2024-10-09,https://removed.com,[Removed],,[Removed],[Removed],[Removed]
2024-10-10,https://www.theverge.com/2024/10/10/24266333/ai-agents-assistants-openai-google-deepmind-bots,The Verge,Kylie Robison,Agents are the future AI companies promise — and desperately need,"OpenAI, Google, and Microsoft believe autonomous AI agents are the next best way to monetize LLMs.","Illustration by Cath Virginia / The Verge | Photos by Getty Images

 

 Humans have automated tasks for centuries. Now, AI companies see a path to profit in harnessing our love of efficiency, and th… [+8508 chars]"
2024-10-01,https://www.theverge.com/2024/10/1/24258337/microsoft-windows-ai-features-click-to-do-super-resolution-photos,The Verge,Tom Warren,Microsoft is using AI to improve Windows search,Microsoft is improving its Windows search across File Explorer and Settings thanks to AI. A new Click to Do feature is also coming to Copilot Plus PCs.,"Illustration by Alex Castro / The Verge

 

 Microsoft is using AI models to greatly improve Windows search on its new Copilot Plus PCs, including the addition of a new Click to Do feature that’s ve… [+4384 chars]"
2024-10-01,https://www.wired.com/story/mustafa-suleyman-interview-microsoft-ai-ceo-copilot/,Wired,Will Knight,Microsoft’s AI Boss Wants to Bring ‘Emotional Support’ to Windows and Office,"Microsoft AI CEO Mustafa Suleyman is overseeing an overhaul that gives Copilot an empathetic voice, the ability to see, and more advanced reasoning skills.","We don't save any of the material with Copilot Vision, so once you close the browser after your session, it all just disappears. It fully deletes. But I'm thinking about if and how to introduce it in… [+2707 chars]"
2024-10-01,https://www.theverge.com/2024/10/1/24259187/microsoft-copilot-redesign-vision-voice-features-inflection-ai,The Verge,Tom Warren,Microsoft gives Copilot a voice and vision in its biggest redesign yet,Microsoft is overhauling its Copilot AI assistant with a new design and features. Copilot is getting voice and vision features that offer more personalized feeds.,"Image: Microsoft

 


 Copilot is transforming into a more personalized AI assistant thanks to Inflection. Microsoft is unveiling a big overhaul of its Copilot experience today, adding voice and vis… [+8485 chars]"
2024-10-02,https://www.theverge.com/2024/10/2/24260296/microsoft-xbox-research-developers-outreach,The Verge,Tom Warren,Microsoft wants to know why some game developers aren’t on Xbox,Microsoft is looking for Xbox feedback from game developers. The Xbox Research team wants to know about all the pain points in bringing games to Xbox.,"Image: Microsoft

 

 Microsoft wants to hear from game developers that might be skipping Xbox, or those already building games using the company’s developer tools. The software maker is expanding i… [+3498 chars]"
2024-10-09,https://www.theverge.com/2024/10/9/24265946/microsoft-flight-simulator-2024-alpha-test,The Verge,Tom Warren,You can sign up to test Microsoft Flight Simulator 2024 if your PC is up to it,"Microsoft is holding an alpha test for Flight Simulator 2024. It’s designed to stress test the core services of the game, ahead of its debut on November 19th.","You can sign up to test Microsoft Flight Simulator 2024 if your PC is up to it
You can sign up to test Microsoft Flight Simulator 2024 if your PC is up to it
 / Microsoft is holding an alpha test f… [+2156 chars]"
2024-09-20,https://www.theverge.com/2024/9/20/24250067/microsoft-windows-11-copilot-key-customization-apps,The Verge,Tom Warren,Microsoft’s Copilot key will be able to launch apps on Windows 11 soon,Microsoft is testing a new Copilot key customization feature for Windows 11. It will allow you to launch apps with the Copilot key.,"Microsofts Copilot key will be able to launch apps on Windows 11 soon
Microsofts Copilot key will be able to launch apps on Windows 11 soon
 / Windows 11 beta testers can now try out new Copilot ke… [+1936 chars]"
2024-10-08,https://www.theverge.com/2024/10/8/24265312/microsoft-onedrive-mobile-app-search-colored-folders-file-explorer,The Verge,Tom Warren,"OneDrive is getting a new mobile app, better search, and colored folders in File Explorer","Microsoft is rolling out new OneDrive features over the months ahead. A new mobile app, better search, and colored folders in File Explorer are all on the way.","OneDrive is getting a new mobile app, better search, and colored folders in File Explorer
OneDrive is getting a new mobile app, better search, and colored folders in File Explorer
 / Microsoft has … [+3056 chars]"
2024-10-01,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_61b99567-c85d-4612-9a20-6d67eb64c679,Yahoo Entertainment,Lawrence Bonk,"Microsoft kills HoloLens 2, with no plans for a follow up device","It looks like Microsoft’s AR platform HoloLens is being sent to a nice tech farm upstate. The company just announced that it’s discontinuing production of its HoloLens 2 headset, according to reporting by 
UploadVR
. Microsoft has no plans for a followup de…","If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
2024-09-20,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_92f36977-7e51-4ffe-b75f-7011bc51aebe,Yahoo Entertainment,Lawrence Bonk,Microsoft plans to restart the Three Mile Island nuclear plant that narrowly avoided disaster,"Microsoft is in the midst of a deal that would bring the infamous Three Mile Island nuclear power plant back to life, according to reporting by The Washington Post. If the name sounds familiar, it’s because the Pennsylvania plant was home to a partial meltdow…","If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
2024-09-18,https://removed.com,[Removed],,[Removed],[Removed],[Removed]
2024-10-08,https://removed.com,[Removed],,[Removed],[Removed],[Removed]
2024-09-20,https://gizmodo.com/microsoft-deal-will-bring-nuclear-power-back-to-three-mile-island-2000501273,Gizmodo.com,Todd Feathers,Microsoft Deal Will Bring Nuclear Power Back to Three Mile Island,"As AI ramps up carbon emissions, Microsoft is going nuclear.","A nuclear power plant at Pennsylvania’s Three Mile Island will be recommissioned thanks to a power purchase deal with Microsoft aimed at offsetting the tech giant’s carbon emissions.
Three Mile Isla… [+2298 chars]"
2024-09-18,https://gizmodo.com/install-microsoft-word-excel-and-powerpoint-by-paying-25-one-time-and-supercharge-your-productivity-89-off-now-2000500426,Gizmodo.com,Joe Tilleli,"Install Microsoft Word, Excel, and PowerPoint by Paying $25 One Time and Supercharge Your Productivity, 89% Off Now!",Save 89% on a lifetime license for Microsoft Office Professional Plus 2019.,This license for Microsoft Office Professional Plus is just $25 and that is huge. So many software developers have upended their business models. We used to be able to just buy a license for X amount… [+2372 chars]
2024-10-01,https://www.theverge.com/2024/10/1/24258260/microsoft-windows-11-2024-update-24h2-download,The Verge,Tom Warren,Microsoft starts rolling out its Windows 11 2024 update with lots of useful improvements,"Microsoft’s latest Windows 11 2024 update is now rolling out. It includes improvements to the Start menu, File Explorer, system tray, and Settings.","Image: Microsoft

 

 Microsoft is starting to release its Windows 11 2024 update today, also known as version 24H2. This update includes a number of small but useful additions to Windows 11 that im… [+5127 chars]"
2024-10-01,https://www.theverge.com/2024/10/1/24259239/microsoft-paint-generative-erase-fill-photos-upscaling,The Verge,Jess Weatherbed,Microsoft Paint is getting Photoshop-like generative AI fill and erase features,Microsoft’s Copilot Plus PCs are getting some new AI-powered editing features for Paint and Photos that could make creatives less reliant on more professional software.,"Microsoft Paint is getting Photoshop-like generative AI fill and erase features
Microsoft Paint is getting Photoshop-like generative AI fill and erase features
 / The Paint update allows users to a… [+2117 chars]"
2024-10-12,https://removed.com,[Removed],,[Removed],[Removed],[Removed]
2024-10-01,https://gizmodo.com/hololens-is-officially-dead-along-with-microsofts-business-ar-dreams-2000505949,Gizmodo.com,Kyle Barr,"HoloLens Is Officially Dead, Along With Microsoft’s Business AR Dreams","Microsoft said it’s calling it quits on HoloLens 2 production. By 2028, the company will stop offering any more updates for its VR headsets.","HoloLens 2 was Microsofts attempt to become the big fish in the burgeoning VR space. Instead, for years, the headset floundered. On Tuesday, Microsoft finally declared that its HoloLens efforts have … [+3153 chars]"
2024-09-27,https://www.bbc.com/news/articles/c869glx8endo,BBC News,,Microsoft re-launches ‘privacy nightmare’ AI screenshot tool,"It says it has listened to concerns about the tool, which continuously screenshots online activity.","Microsoft says it has listened to feedback following a privacy row over a new tool which takes regular screenshots of users online activity.
It was labelled a potential privacy nightmare by critics … [+2916 chars]"
2024-09-18,https://removed.com,[Removed],,[Removed],[Removed],[Removed]
2024-10-01,https://www.wired.com/story/microsoft-copilot-vision-voice-emotional-support-windows-office/,Wired,Will Knight,"Microsoft’s Copilot AI Gets a Voice, Vision, and a ‘Hype Man’ Persona","Powered by OpenAI's latest models, Microsoft's Copilot assistant is becoming a lot more handy—and wants to be an ""encouraging"" digital coworker.","Microsoft deleted the over-eager office assistant Clippy some 17 years ago, but the vision for an friendly and optimistic AI helper has apparently found its way out of the Recycle Bin. The company is… [+2950 chars]"
